Source,Target,Type,Id,Label,Weight
G1024,G1062,Undirected,562,,23
G1024,G1056,Undirected,563,,19
G1024,M1204,Undirected,564,,30
G1024,S5046,Undirected,565,,22
G1024,G1029,Undirected,566,,21
G1024,V9018,Undirected,567,,23
G1024,G1034,Undirected,568,,28
G1024,V9025,Undirected,569,,19
G1024,S5002,Undirected,570,,33
G1024,G1060,Undirected,571,,21
G1024,S5036,Undirected,572,,25
G1024,B1729,Undirected,573,,32
G1024,G1022,Undirected,574,,28
G1024,B1731,Undirected,575,,31
G1024,N6005,Undirected,576,,27
G1024,B1783,Undirected,577,,38
G1024,V9006,Undirected,578,,26
G1024,V9004,Undirected,579,,33
G1024,V9009,Undirected,580,,25
G1024,V9005,Undirected,581,,19
G1024,B1728,Undirected,582,,23
G1024,M1202,Undirected,583,,29
G1024,G1058,Undirected,584,,20
G1024,V9017,Undirected,585,,22
G1024,G1053,Undirected,586,,19
G1024,M1206,Undirected,587,,30
G1024,V9027,Undirected,588,,26
G1024,G1018,Undirected,589,,25
G1024,G1054,Undirected,590,,23
G1024,S5017,Undirected,591,,25
G1024,S5007,Undirected,592,,21
G1024,G1059,Undirected,593,,12
G1024,B1789,Undirected,594,,24
G1024,S5019,Undirected,595,,23
G1024,N6002,Undirected,596,,26
G1024,N6006,Undirected,597,,30
G1024,S5023,Undirected,598,,7
G1024,B1788,Undirected,599,,23
G1024,S5012,Undirected,600,,24
G1024,B1790,Undirected,601,,21
G1024,S5039,Undirected,602,,18
G1024,S5022,Undirected,603,,26
G1024,S5029,Undirected,604,,22
G1024,S5042,Undirected,605,,26
G1024,S5004,Undirected,606,,24
G1024,V9012,Undirected,607,,23
G1024,B1737,Undirected,608,,22
G1024,S5038,Undirected,609,,14
G1024,G1051,Undirected,610,,28
G1024,B1787,Undirected,611,,17
G1024,B1738,Undirected,612,,23
G1024,B1739,Undirected,613,,28
G1024,B1778,Undirected,614,,27
G1024,G1063,Undirected,615,,26
G1024,S5015,Undirected,616,,27
G1024,V9001,Undirected,617,,20
G1024,V9015,Undirected,618,,20
G1024,V9016,Undirected,619,,20
G1024,G1039,Undirected,620,,15
G1024,B1732,Undirected,621,,26
G1024,V9007,Undirected,622,,13
G1024,G1021,Undirected,623,,14
G1024,B1793,Undirected,624,,20
G1024,B1735,Undirected,625,,22
G1024,G1020,Undirected,626,,19
G1024,G1017,Undirected,627,,13
G1024,B1734,Undirected,628,,15
G1024,S5008,Undirected,629,,22
G1024,N6003,Undirected,630,,15
G1024,S5032,Undirected,631,,23
G1024,G1052,Undirected,632,,23
G1024,S5018,Undirected,633,,23
G1024,G1030,Undirected,634,,20
G1024,N6009,Undirected,635,,16
G1024,G1065,Undirected,636,,12
G1024,V9022,Undirected,637,,16
G1024,G1057,Undirected,638,,22
G1024,V9026,Undirected,639,,27
G1024,V9014,Undirected,640,,19
G1024,B1742,Undirected,641,,20
G1024,B1795,Undirected,642,,17
G1024,V9019,Undirected,643,,24
G1024,G1027,Undirected,644,,17
G1024,S5025,Undirected,645,,15
G1024,M1205,Undirected,646,,33
G1024,N6001,Undirected,647,,23
G1024,G1061,Undirected,648,,23
G1024,V9002,Undirected,649,,20
G1024,S5049,Undirected,650,,22
G1024,S5014,Undirected,651,,27
G1024,B1740,Undirected,652,,22
G1024,S5020,Undirected,653,,20
G1024,S5026,Undirected,654,,25
G1024,S5047,Undirected,655,,22
G1024,V9011,Undirected,656,,19
G1024,S5031,Undirected,657,,4
G1024,S5011,Undirected,658,,23
G1024,S5027,Undirected,659,,22
G1024,B1736,Undirected,660,,17
G1024,G1050,Undirected,661,,23
G1024,G1066,Undirected,662,,17
G1024,S5040,Undirected,663,,24
G1024,G1064,Undirected,664,,22
G1024,S5048,Undirected,665,,19
G1055,S5030,Undirected,666,,25
G1055,N6007,Undirected,667,,30
G1055,S5028,Undirected,668,,24
G1055,M1203,Undirected,669,,33
G1055,G1067,Undirected,670,,27
G1055,V9021,Undirected,671,,28
G1055,B1741,Undirected,672,,24
G1055,N6008,Undirected,673,,33
G1055,B1794,Undirected,674,,25
G1055,M1201,Undirected,675,,32
G1055,V9023,Undirected,676,,32
G1055,S5013,Undirected,677,,21
G1055,S5021,Undirected,678,,20
G1055,S5001,Undirected,679,,21
G1055,G1028,Undirected,680,,17
G1055,B1730,Undirected,681,,29
G1055,S5035,Undirected,682,,40
G1055,V9020,Undirected,683,,28
G1055,M1208,Undirected,684,,38
G1055,B1785,Undirected,685,,50
G1055,S5033,Undirected,686,,23
G1055,B1733,Undirected,687,,33
G1055,G1023,Undirected,688,,25
G1055,B1781,Undirected,689,,23
G1055,V9024,Undirected,690,,29
G1055,G1031,Undirected,691,,25
G1055,V9003,Undirected,692,,28
G1055,S5037,Undirected,693,,38
G1055,B1791,Undirected,694,,18
G1055,S5010,Undirected,695,,16
G1055,G1025,Undirected,696,,22
G1055,S5044,Undirected,697,,44
G1055,S5003,Undirected,698,,24
G1055,B1784,Undirected,699,,36
G1055,S5045,Undirected,700,,34
G1055,S5043,Undirected,701,,33
G1055,B1777,Undirected,702,,26
G1055,S5024,Undirected,703,,40
G1055,G1032,Undirected,704,,29
G1055,N6004,Undirected,705,,33
G1055,B1780,Undirected,706,,26
G1055,B1782,Undirected,707,,37
G1055,S5041,Undirected,708,,23
G1055,G1019,Undirected,709,,30
G1055,S5016,Undirected,710,,23
G1055,V9013,Undirected,711,,16
G1055,B1786,Undirected,712,,16
G1055,B1792,Undirected,713,,26
G1055,S5009,Undirected,714,,23
G1055,B1776,Undirected,715,,29
G1055,G1033,Undirected,716,,35
